interval,window,z_entry,z_exit,pair_category,leader,lagger,lag,base_correlation,max_correlation,sharpe_ratio,max_drawdown,max_drawdown_pct,total_return_pct,num_trades,win_rate,sortino_ratio,final_capital,volatility_annual
1d,60,2.0,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-15.15220341815078,-0.3710086901600235,-37.10086901600235,-34.39384711841495,238,0.09243697478991597,-8.382216188342774,65606.15288158505,1.5536853175518441
1d,60,2.0,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-37.41811156225432,-0.4015839831383266,-40.15839831383266,-40.158398313832656,244,0.04918032786885246,-20.57807471199592,59841.60168616734,0.7974331423121384
1d,60,2.0,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-14.54188870091438,-0.33370475853695447,-33.370475853695446,-32.709368227334714,246,0.04878048780487805,-12.513133437106049,67290.63177266529,1.5243191565889846
1d,60,2.0,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-28.762943908153563,-0.4644194347777016,-46.44194347777016,-45.55223508332084,238,0.06722689075630252,-12.826055307566804,54447.76491667917,1.2148483016265073
1d,60,2.5,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-7.618759353786703,-0.14956472739965232,-14.956472739965232,-11.152058877853921,154,0.07792207792207792,-9.680151385487521,88847.94112214608,0.8641688789916667
1d,60,2.5,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-4.874519256657026,-0.2261994646228438,-22.61994646228438,-14.989844005065256,138,0.07246376811594203,-3.3677634675355135,85010.15599493474,1.6817354316672173
1d,60,2.5,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-5.979164590844281,-0.2855975709998333,-28.55975709998333,-13.615865654011838,160,0.1125,-3.328937785809922,86384.13434598816,1.2982418573166399
1d,60,2.5,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-29.058299102351576,-0.2230204140307862,-22.302041403078622,-22.302041403078622,156,0.05128205128205128,-26.89959881881215,77697.95859692138,0.5057645215241664
1d,60,2.5,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-7.266133577948727,-0.25899302982840006,-25.899302982840005,-18.592563267072006,140,0.05714285714285714,-4.749806901808469,81407.43673292799,1.5134744142473797
1d,60,2.5,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-18.878793288888343,-0.27074251346815487,-27.074251346815487,-25.686684606108724,160,0.0875,-7.80040711686368,74313.31539389127,0.9017274400140517
1d,90,1.5,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-35.09962981396925,-0.5066941334951092,-50.66941334951092,-50.66941334951092,368,0.06521739130434782,-24.903856351683952,49330.58665048908,1.1630747222610691
1d,90,1.5,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-26.01844576295499,-0.5583022124421781,-55.83022124421782,-55.83022124421782,386,0.05699481865284974,-20.509351876110447,44169.77875578219,1.7848759127886664
1d,90,1.5,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-35.76123417003287,-0.6579717335496215,-65.79717335496214,-65.64458002749664,358,0.0670391061452514,-20.577067414355273,34355.41997250335,1.7125708090980196
1d,90,1.5,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-45.6782470142724,-0.5476068946262611,-54.76068946262611,-54.76068946262611,370,0.05945945945945946,-28.065829168272078,45239.31053737389,1.0085194264768182
1d,90,1.5,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-25.36595005615242,-0.5353858982143755,-53.538589821437554,-53.538589821437554,390,0.05641025641025641,-21.16915763070813,46461.410178562444,1.718466718306348
1d,90,1.5,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-43.01755279918959,-0.6535853414186104,-65.35853414186104,-65.20398385868019,360,0.06111111111111111,-23.153618866917803,34796.01614131981,1.4170376660819555
1d,90,2.0,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-18.579914145693316,-0.2883137387575589,-28.83137387575589,-25.861193848869135,228,0.07017543859649122,-14.639678786698013,74138.80615113086,0.9234176639738619
1d,90,2.0,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-16.8164465057336,-0.4134772400917358,-41.34772400917358,-40.7657677749401,224,0.05357142857142857,-10.269553345168358,59234.2322250599,1.7414172131036783
